"Position","Steering_max","Steering_85","Steering_median","Steering_mean","Steering_min","Driver_ID"
-195,0.001,0.001,0,0.000181818181818182,-0.001,"Driver01"
-185,0.001,0.001,0.001,0.001,0.001,"Driver01"
-175,0.001,0.001,0.001,0.001,0.001,"Driver01"
-165,0.001,0.001,0.001,0.001,0.001,"Driver01"
-155,0.001,0.001,0.001,0.001,0.001,"Driver01"
-145,0.001,0.001,0.001,0.001,0.001,"Driver01"
-135,0.001,0.001,0.001,0.001,0.001,"Driver01"
-125,0.001,0.001,0.001,0.001,0.001,"Driver01"
-115,0.001,0.001,0.001,0.001,0.001,"Driver01"
-105,0.001,0.001,0.001,0.001,0.001,"Driver01"
-95,0.001,0.001,0.001,0.000545454545454545,0,"Driver01"
-85,0,0,0,0,0,"Driver01"
-75,0,0,0,0,0,"Driver01"
-65,0.001,0.001,0.001,0.000863636363636364,0,"Driver01"
-55,0.001,0.001,0.001,0.001,0.001,"Driver01"
-45,0.001,0.001,0.001,0.001,0.001,"Driver01"
-35,0.001,0.001,0.001,0.001,0.001,"Driver01"
-25,0.001,0.001,0.001,0.001,0.001,"Driver01"
-15,0.001,0.001,0.001,0.001,0.001,"Driver01"
-5,0.001,0.001,0.001,0.001,0.001,"Driver01"
5,0.002,0.001,0.001,0.00109090909090909,0.001,"Driver01"
15,0.003,0.003,0.003,0.00280952380952381,0.002,"Driver01"
25,0.003,0.003,0.003,0.003,0.003,"Driver01"
35,0.003,0.003,0.003,0.003,0.003,"Driver01"
45,0.004,0.004,0.004,0.00380952380952381,0.003,"Driver01"
55,0.004,0.004,0.003,0.00304545454545455,0.002,"Driver01"
65,0.002,0.002,0.002,0.002,0.002,"Driver01"
75,0.002,0.002,0.002,0.002,0.002,"Driver01"
85,0.002,0.002,0.002,0.002,0.002,"Driver01"
95,0.002,0.002,0.002,0.002,0.002,"Driver01"
105,0.002,0.002,0.002,0.002,0.002,"Driver01"
115,0.002,0.002,0.002,0.002,0.002,"Driver01"
125,0.002,0.002,0.002,0.002,0.002,"Driver01"
135,0.002,0.002,0.002,0.002,0.002,"Driver01"
145,0.002,0.002,0.002,0.002,0.002,"Driver01"
155,0.002,0.001,0.001,0.00104545454545455,0.001,"Driver01"
165,0.001,0.001,0.001,0.001,0.001,"Driver01"
175,0.001,0.001,0.001,0.001,0.001,"Driver01"
185,0.001,0.001,0.001,0.001,0.001,"Driver01"
195,0.002,0.001,0.001,0.00113636363636364,0.001,"Driver01"
-195,0.004,0.00385,0.0015,0.00168181818181818,-0.001,"Driver02"
-185,-0.002,-0.003,-0.004,-0.00376190476190476,-0.004,"Driver02"
-175,-0.003,-0.004,-0.004,-0.00390909090909091,-0.004,"Driver02"
-165,0,0,0,-0.00080952380952381,-0.003,"Driver02"
-155,0.004,0.004,0.002,0.00222727272727273,0,"Driver02"
-145,0.004,0.004,0.004,0.004,0.004,"Driver02"
-135,0.004,0.004,0.004,0.00372727272727273,0.002,"Driver02"
-125,0.002,0.002,0.002,0.002,0.002,"Driver02"
-115,0.002,0.002,0.002,0.002,0.002,"Driver02"
-105,0.002,0.001,0,0.00019047619047619,-0.001,"Driver02"
-95,-0.001,-0.002,-0.002,-0.00190909090909091,-0.002,"Driver02"
-85,-0.002,-0.002,-0.002,-0.002,-0.002,"Driver02"
-75,-0.002,-0.002,-0.002,-0.002,-0.002,"Driver02"
-65,0,0,-0.001,-0.00109090909090909,-0.002,"Driver02"
-55,0.001,0.000699999999999999,0,0.000173913043478261,0,"Driver02"
-45,0.004,0.004,0.004,0.00342857142857143,0.001,"Driver02"
-35,0.005,0.004,0.004,0.00409090909090909,0.004,"Driver02"
-25,0.006,0.006,0.006,0.006,0.006,"Driver02"
-15,0.006,0.006,0.006,0.006,0.006,"Driver02"
-5,0.005,0.0033,0.002,0.00265,0.002,"Driver02"
5,0.002,0.002,-5e-04,-0.000590909090909091,-0.003,"Driver02"
15,-0.003,-0.004,-0.004,-0.00395454545454545,-0.004,"Driver02"
25,-0.004,-0.004,-0.004,-0.004,-0.004,"Driver02"
35,0,0,-0.001,-0.00138095238095238,-0.004,"Driver02"
45,0.003,0.002,0,0.000681818181818182,0,"Driver02"
55,0.003,0.003,0.003,0.003,0.003,"Driver02"
65,0.005,0.004,0.003,0.00347619047619048,0.003,"Driver02"
75,0.005,0.005,0.005,0.005,0.005,"Driver02"
85,0.005,0.005,0.005,0.00459090909090909,0.004,"Driver02"
95,0.004,0.004,0.004,0.00347826086956522,0.002,"Driver02"
105,0.002,0.002,0.002,0.0019047619047619,0.001,"Driver02"
115,0.001,0.001,0,0.000318181818181818,0,"Driver02"
125,0,0,0,0,0,"Driver02"
135,0,0,0,0,0,"Driver02"
145,0,0,0,0,0,"Driver02"
155,0,0,0,0,0,"Driver02"
165,0,0,0,0,0,"Driver02"
175,0,0,0,0,0,"Driver02"
185,0,0,0,0,0,"Driver02"
195,0,0,0,0,0,"Driver02"
-195,0,0,-0.001,-0.000571428571428571,-0.001,"Driver03"
-185,-0.001,-0.001,-0.001,-0.001,-0.001,"Driver03"
-175,-0.001,-0.001,-0.001,-0.001,-0.001,"Driver03"
-165,-0.001,-0.001,-0.001,-0.001,-0.001,"Driver03"
-155,-0.001,-0.001,-0.001,-0.001,-0.001,"Driver03"
-145,0,0,-0.001,-7e-04,-0.001,"Driver03"
-135,0,0,0,0,0,"Driver03"
-125,0.004,0.00215,0.001,0.0011,0,"Driver03"
-115,0.004,0.004,0.004,0.004,0.004,"Driver03"
-105,0.004,0.004,0.004,0.004,0.004,"Driver03"
-95,0.004,0.004,0.004,0.004,0.004,"Driver03"
-85,0.004,0.004,0.004,0.00333333333333333,0.001,"Driver03"
-75,0.001,0.001,0.001,0.00075,0,"Driver03"
-65,0,0,0,0,0,"Driver03"
-55,0,0,0,0,0,"Driver03"
-45,0.002,0.001,0,0.000380952380952381,0,"Driver03"
-35,0.002,0.002,0.002,0.002,0.002,"Driver03"
-25,0.002,0.002,0.002,0.002,0.002,"Driver03"
-15,0.002,0.002,0.002,0.002,0.002,"Driver03"
-5,0.002,0.002,0.0015,0.001,-0.001,"Driver03"
5,0,0,-0.001,-0.000761904761904762,-0.001,"Driver03"
15,0.004,0.004,0.003,0.00305,0.001,"Driver03"
25,0.004,0.004,0.004,0.004,0.004,"Driver03"
35,0.004,0.004,0.004,0.004,0.004,"Driver03"
45,0.004,0.004,0.004,0.004,0.004,"Driver03"
55,0.004,0.004,0.004,0.004,0.004,"Driver03"
65,0.004,0.004,0.004,0.00390909090909091,0.003,"Driver03"
75,0.003,0.002,0.001,0.00142857142857143,0.001,"Driver03"
85,0.001,0.001,0,0.000285714285714286,-0.001,"Driver03"
95,-0.001,-0.001,-0.001,-0.001,-0.001,"Driver03"
105,-0.001,-0.001,-0.001,-0.001,-0.001,"Driver03"
115,-0.001,-0.001,-0.001,-0.001,-0.001,"Driver03"
125,0,0,-0.001,-0.000571428571428571,-0.001,"Driver03"
135,0.002,0.002,0.001,0.00138095238095238,0,"Driver03"
145,0.003,0.002,0.002,0.00204545454545455,0.002,"Driver03"
155,0.005,0.005,0.004,0.00404761904761905,0.003,"Driver03"
165,0.005,0.005,0.005,0.005,0.005,"Driver03"
175,0.005,0.005,0.005,0.00481818181818182,0.004,"Driver03"
185,0.004,0.004,0.003,0.0028695652173913,0.002,"Driver03"
195,0.002,0.002,0.001,0.0013,0,"Driver03"
-195,0.001,0.001,0.001,0.001,0.001,"Driver04"
-185,0.001,0.001,0.001,0.001,0.001,"Driver04"
-175,0.001,0.001,0.001,0.001,0.001,"Driver04"
-165,0.001,0.001,0.001,0.001,0.001,"Driver04"
-155,0.001,0.001,0.001,0.001,0.001,"Driver04"
-145,0.001,0.001,0.001,0.001,0.001,"Driver04"
-135,0.002,0.002,0.002,0.00163636363636364,0.001,"Driver04"
-125,0.002,0.002,0.002,0.002,0.002,"Driver04"
-115,0.002,0.002,0.002,0.002,0.002,"Driver04"
-105,0.002,0.002,0.002,0.002,0.002,"Driver04"
-95,0.002,0.002,0.002,0.002,0.002,"Driver04"
-85,0.002,0.002,0.002,0.002,0.002,"Driver04"
-75,0.003,0.003,0.002,0.00223809523809524,0.002,"Driver04"
-65,0.003,0.003,0.003,0.003,0.003,"Driver04"
-55,0.003,0.003,0.003,0.003,0.003,"Driver04"
-45,0.003,0.003,0.003,0.003,0.003,"Driver04"
-35,0.003,0.003,0.003,0.003,0.003,"Driver04"
-25,0.003,0.003,0.003,0.003,0.003,"Driver04"
-15,0.003,0.003,0.002,0.00231818181818182,0.002,"Driver04"
-5,0.002,0.002,0.002,0.002,0.002,"Driver04"
5,0.002,0.002,0.001,0.00136842105263158,0.001,"Driver04"
15,0.001,0.001,0.001,0.001,0.001,"Driver04"
25,0.001,0.001,0.001,0.001,0.001,"Driver04"
35,0.001,0.001,0.001,0.001,0.001,"Driver04"
45,0.001,0.001,0.001,0.001,0.001,"Driver04"
55,0.001,0.001,0.001,0.001,0.001,"Driver04"
65,0.001,0.001,0.001,0.001,0.001,"Driver04"
75,0.001,0.001,0.001,0.001,0.001,"Driver04"
85,0.002,0.002,0.002,0.00186363636363636,0.001,"Driver04"
95,0.002,0.002,0.002,0.002,0.002,"Driver04"
105,0.002,0.002,0.002,0.002,0.002,"Driver04"
115,0.002,0.002,0.002,0.002,0.002,"Driver04"
125,0.002,0.002,0.002,0.002,0.002,"Driver04"
135,0.002,0.002,0.002,0.002,0.002,"Driver04"
145,0.002,0.002,0.001,0.00131818181818182,0.001,"Driver04"
155,0.001,0.001,0.001,0.001,0.001,"Driver04"
165,0.001,0.001,0.001,0.001,0.001,"Driver04"
175,0.001,0.001,0.001,0.001,0.001,"Driver04"
185,0.001,0.001,0.001,0.001,0.001,"Driver04"
195,0.001,0.001,0.001,0.000590909090909091,0,"Driver04"
-195,0.002,0.002,0.002,0.002,0.002,"Driver05"
-185,0.002,0.002,0.002,0.002,0.002,"Driver05"
-175,0.002,0.002,0.002,0.002,0.002,"Driver05"
-165,0.004,0.003,0.002,0.00228571428571429,0.002,"Driver05"
-155,0.006,0.006,0.006,0.00595238095238095,0.005,"Driver05"
-145,0.006,0.006,0.0035,0.00318181818181818,-0.001,"Driver05"
-135,-0.001,-0.001,-0.001,-0.001,-0.001,"Driver05"
-125,-0.001,-0.001,-0.003,-0.00276190476190476,-0.004,"Driver05"
-115,0.001,0.001,0,-0.000545454545454545,-0.004,"Driver05"
-105,0.003,0.002,0.001,0.00128571428571429,0.001,"Driver05"
-95,0.004,0.004,0.004,0.00395454545454545,0.003,"Driver05"
-85,0.004,0.004,0.004,0.004,0.004,"Driver05"
-75,0.004,0.004,0.004,0.004,0.004,"Driver05"
-65,0.004,0.004,0.004,0.004,0.004,"Driver05"
-55,0.004,0.004,0.004,0.00376190476190476,0.003,"Driver05"
-45,0.003,0.003,0.003,0.00259090909090909,0.001,"Driver05"
-35,0.001,0.001,0.001,0.001,0.001,"Driver05"
-25,0.001,0.001,0.001,0.001,0.001,"Driver05"
-15,0.001,0.001,0,0.000333333333333333,-0.001,"Driver05"
-5,-0.001,-0.001,-0.004,-0.00352380952380952,-0.005,"Driver05"
5,-0.004,-0.004,-0.004,-0.00422727272727273,-0.005,"Driver05"
15,0.001,0.001,-0.003,-0.00223809523809524,-0.004,"Driver05"
25,0.004,0.004,0.0025,0.00245454545454545,0.001,"Driver05"
35,0.004,0.004,0.004,0.004,0.004,"Driver05"
45,0.004,0.004,0.003,0.00331818181818182,0.003,"Driver05"
55,0.003,0.003,0.003,0.003,0.003,"Driver05"
65,0.005,0.005,0.003,0.00359090909090909,0.003,"Driver05"
75,0.006,0.006,0.006,0.00566666666666667,0.005,"Driver05"
85,0.005,0.004,0.001,0.00161904761904762,-0.001,"Driver05"
95,-0.001,-0.001,-0.001,-0.001,-0.001,"Driver05"
105,0,0,-0.001,-0.000523809523809524,-0.001,"Driver05"
115,0,0,0,0,0,"Driver05"
125,0.003,0.003,0.002,0.00213636363636364,0,"Driver05"
135,0.002,0,0,0.00019047619047619,0,"Driver05"
145,0,0,0,0,0,"Driver05"
155,0,0,0,0,0,"Driver05"
165,0.001,0,0,4.54545454545455e-05,0,"Driver05"
175,0.001,0.001,0.001,0.001,0.001,"Driver05"
185,0.003,0.003,0.001,0.00154545454545455,0.001,"Driver05"
195,0.003,0.003,0.003,0.003,0.003,"Driver05"
